LSOA,Disabled_Percentage
E01000375,13.7
E01000376,13.4
E01000377,16.4
E01000379,15.9
E01000380,21.5
E01000381,19.9
E01000382,14.2
E01000383,15
E01000384,13.1
E01000385,18.6
E01000386,24.3
E01000387,14.5
E01000388,14.4
E01000389,14.3
E01000390,12.9
E01000391,13.5
E01000392,13.4
E01000393,11.7
E01000394,16.8
E01000395,12.5
E01000396,10.9
E01000398,17.4
E01000399,13.9
E01000400,12.8
E01000401,22.3
E01000402,15.9
E01000403,19.3
E01000404,13.9
E01000405,13.3
E01000406,12.1
E01000407,15.3
E01000408,12.2
E01000409,10.7
E01000410,9.3
E01000411,13.1
E01000412,10.7
E01000413,12.8
E01000414,13.4
E01000415,13.1
E01000416,14.6
E01000417,15.4
E01000418,11.8
E01000419,16.1
E01000420,16.1
E01000421,14.3
E01000422,15.2
E01000423,12.4
E01000424,17.2
E01000425,16
E01000426,11.8
E01000427,14.5
E01000428,21.1
E01000429,18.5
E01000430,12.7
E01000431,18.4
E01000433,16.4
E01000434,22.5
E01000435,16.3
E01000436,11.1
E01000437,13.9
E01000438,14.4
E01000439,14.9
E01000440,14.5
E01000441,17.7
E01000442,15.5
E01000443,16
E01000444,12.4
E01000445,13
E01000446,12.4
E01000447,13.1
E01000448,13.1
E01000449,15.9
E01000450,14.5
E01000451,11.2
E01000452,11.3
E01000453,12.2
E01000454,16
E01000455,11
E01000456,12.5
E01000457,15.1
E01000458,17.3
E01000459,17.4
E01000460,10.9
E01000461,12.4
E01000462,20.5
E01000463,11.6
E01000464,17.7
E01000465,18.4
E01000466,13.8
E01000467,15.1
E01000468,9.9
E01000469,11.3
E01000470,14.8
E01000471,8.4
E01000472,8
E01000473,8.5
E01000474,8.4
E01000475,8.2
E01000476,8.9
E01000477,6.2
E01000478,9.4
E01000479,12.9
E01000480,10.3
E01000481,10.8
E01000483,14.4
E01000484,16.9
E01000485,17.2
E01000486,9.2
E01000487,13.5
E01000488,12.1
E01000489,15.1
E01000490,14.1
E01000491,12.5
E01000492,11.1
E01000493,11.5
E01000494,15.4
E01000495,17.8
E01000497,13.9
E01000498,12.5
E01000499,11.7
E01000501,12.3
E01000502,12.5
E01000503,13.4
E01000504,12.4
E01000505,12.5
E01000506,12.6
E01000507,12.7
E01000508,12.9
E01000509,14.4
E01000510,10
E01000511,10.1
E01000512,11.5
E01000513,15.4
E01000514,9.7
E01000515,11.5
E01000516,7.6
E01000517,10.7
E01000518,13.9
E01000519,13.3
E01000520,13.2
E01000521,17.1
E01000522,12
E01000523,11.6
E01000524,13.7
E01000525,14.6
E01000526,19.1
E01000527,14.3
E01000528,15
E01000530,11
E01000531,17.4
E01000532,13.3
E01000533,17.4
E01000534,11.3
E01000535,11
E01000536,13.4
E01000538,10.7
E01000539,12.1
E01000540,12.6
E01000541,12.1
E01000543,11.3
E01000544,13.9
E01000545,12
E01000546,14.8
E01000547,11.5
E01000548,13.4
E01000549,11
E01000550,18.1
E01000551,14.8
E01000552,14.8
E01000553,11.2
E01000554,12.9
E01000555,10.8
E01000556,11
E01000557,13.4
E01000558,14.2
E01000559,19.4
E01000560,11.1
E01000561,13.9
E01000562,13.2
E01000563,12.5
E01000564,9.5
E01000565,12.4
E01000566,11.5
E01000567,12.2
E01000568,11.8
E01000569,10.9
E01000570,12.2
E01000571,15.5
E01000572,9
E01000573,8.7
E01000574,8.3
E01000575,8.7
E01000576,11.4
E01000577,12.1
E01000578,18
E01000579,13.2
E01000580,11.3
E01000581,12.4
E01000582,8.5
E01000583,12.1
E01000584,11.8
E01000585,11.6
E01000586,10.9
E01000587,9.5
E01000589,11.3
E01000590,11.3
E01000591,8.3
E01000592,11.4
E01000593,10.5
E01000594,7.6
E01000595,13.4
E01000596,15.7
E01000599,15.3
E01000601,19.5
E01000602,15.2
E01000603,15.4
E01000604,16.3
E01000605,15.8
E01000606,10.7
E01000607,9.5
E01000608,13.1
E01000609,10.3
E01000610,14.1
E01000611,9.5
E01000612,11.5
E01000613,11.9
E01000615,9.3
E01000616,9.7
E01000617,11.7
E01000618,9.2
E01000619,10.4
E01000620,14.4
E01000621,9.8
E01000622,9
E01000623,8.8
E01000624,13.7
E01000625,14.1
E01000626,15
E01000627,12.6
E01000628,12.8
E01000629,10.2
E01000630,10.3
E01000631,9.4
E01000632,8.8
E01000633,8.6
E01000634,9.6
E01000636,9.2
E01000637,13.4
E01000638,12.6
E01000639,10
E01000640,10.5
E01000641,14.6
E01000642,11.8
E01000643,18.5
E01000644,14.2
E01000645,8.8
E01000646,15.2
E01000647,10.1
E01000648,11.8
E01000649,10.8
E01000650,13.5
E01000651,20.9
E01000652,13.3
E01000653,14
E01000654,13.6
E01000655,12.8
E01000656,12.6
E01000657,13.9
E01000658,16.3
E01000659,12.1
E01000661,18
E01000662,14.1
E01000663,16.8
E01000664,13.7
E01000665,13.2
E01000666,11.1
E01000667,13.3
E01000668,13.2
E01000669,12
E01000670,10.9
E01000671,12.8
E01000672,11.8
E01000673,10.9
E01000674,14.3
E01000676,13.1
E01000677,10.4
E01000678,10.2
E01000679,12.2
E01000680,12.5
E01000681,11.7
E01000682,13.4
E01000683,14.2
E01000684,10.3
E01000685,13.6
E01000686,16.8
E01000687,14.6
E01000688,13
E01000689,17.1
E01000690,11.8
E01000691,15.4
E01000692,12.5
E01000693,19.3
E01000694,12.8
E01000695,10.2
E01000696,14
E01000697,10.6
E01000698,10
E01000699,12.6
E01000700,14.6
E01000701,10.6
E01000702,10.3
E01000703,12.5
E01000704,12.9
E01000705,14.5
E01000706,13.8
E01000707,8.3
E01000708,12
E01000709,13.7
E01000710,10.4
E01000711,11.8
E01000712,12.3
E01000713,12.3
E01000714,13.3
E01000715,13.3
E01000716,15.4
E01000717,11.9
E01000718,14.2
E01000719,17.9
E01000720,16
E01000721,19.9
E01000722,12.8
E01000723,15.4
E01000724,18.3
E01000725,18
E01000726,16.9
E01000727,15.9
E01000728,17
E01000729,21.4
E01000730,19.6
E01000731,15.9
E01000732,14.9
E01000733,14.7
E01000734,12.9
E01000735,17.5
E01000736,18.4
E01000737,19.3
E01000738,17.4
E01000739,21.2
E01000741,13.6
E01000742,13.4
