LSOA,Disabled_Percentage
E01003074,13.3
E01003075,15
E01003076,12.3
E01003077,14
E01003078,12
E01003079,11.5
E01003080,10.9
E01003081,13.2
E01003082,14.9
E01003083,15.5
E01003084,12.4
E01003085,13.3
E01003086,17.8
E01003087,17.5
E01003088,12
E01003089,11.1
E01003090,10.9
E01003091,10.4
E01003092,12.5
E01003093,15.8
E01003094,13.9
E01003095,9.8
E01003096,12.9
E01003097,17.7
E01003098,14.4
E01003099,11.6
E01003100,7.8
E01003101,14.2
E01003102,15.2
E01003104,12.3
E01003105,17
E01003106,13.6
E01003107,12.2
E01003108,16.2
E01003110,13.4
E01003111,16.4
E01003112,15.9
E01003113,12.4
E01003114,11.8
E01003115,11.2
E01003116,13.6
E01003117,13
E01003118,12.1
E01003119,13.1
E01003120,13.9
E01003121,13.7
E01003122,11.9
E01003123,12.1
E01003124,13.7
E01003125,13.1
E01003126,12.9
E01003127,12.8
E01003128,13.3
E01003129,11.3
E01003130,11
E01003131,9.9
E01003132,18.6
E01003133,10.6
E01003134,14.5
E01003135,15.1
E01003136,12.8
E01003137,13.7
E01003138,8.7
E01003139,9.4
E01003140,11.9
E01003141,12
E01003142,10.6
E01003143,16.4
E01003144,16.8
E01003145,13
E01003146,12.4
E01003147,11.3
E01003148,11.4
E01003149,14.4
E01003150,13.8
E01003151,14.4
E01003152,11.4
E01003153,9.9
E01003154,15
E01003155,14.2
E01003156,11.6
E01003157,7.9
E01003158,10.4
E01003159,13.1
E01003160,12.6
E01003161,11.6
E01003162,10.9
E01003163,11.4
E01003164,14.1
E01003165,13.2
E01003166,15.1
E01003167,11.9
E01003168,19.3
E01003169,12.3
E01003170,10.2
E01003171,12.3
E01003172,14.4
E01003173,12.7
E01003174,14.5
E01003175,17.2
E01003176,13.1
E01003177,12.7
E01003178,11
E01003179,11.8
E01003180,14.7
E01003181,17
E01003182,12.8
E01003183,18.5
E01003184,12.5
E01003185,13.2
E01003186,12.7
E01003187,13.6
E01003188,16.3
E01003189,17.7
E01003190,14.3
E01003191,16.2
E01003192,17.8
E01003193,14.5
E01003194,17.1
E01003195,12.1
E01003196,18.1
E01003197,19.2
E01003198,13.9
E01003199,12
E01003200,12.5
E01003201,17.3
E01003202,11.9
E01003203,15
E01003204,14.6
E01003205,15.1
E01003206,13.5
E01003207,16.5
E01003209,16.3
E01003210,11.7
E01003211,12.7
E01003212,12.7
E01003213,11
E01003214,16.5
E01003215,15.6
E01003216,13.9
E01003217,11.5
E01003218,11.9
E01003219,14.9
E01003220,19.2
E01003221,15.6
E01003222,14.8
E01003223,14.4
E01003224,13.9
E01003225,11
E01003226,9.7
E01003227,12.5
E01003228,13.8
E01003229,17.4
E01003230,12.6
E01003231,15
E01003232,11.4
E01003233,12.5
E01003235,16.8
E01003236,16.3
E01003237,15.9
E01003238,14.9
E01003239,14.6
E01003240,15.4
E01003241,20.6
E01003243,14.7
E01003244,11.4
E01003245,15.2
E01003246,14.6
E01003247,10.9
E01003248,15.2
E01003249,14
E01003251,12.2
E01003252,15.3
E01003253,17.9
E01003254,11.9
E01003255,12.1
E01003256,15.5
E01003257,15.8
E01003258,16.6
E01003259,12.3
E01003260,12.7
E01003261,12.6
E01003262,13
E01003263,17.5
E01003264,17.3
E01003265,12.6
E01003266,17.7
E01003267,18
E01003268,13.9
E01003269,14.8
E01003270,9.7
E01003271,13.9
E01003272,13
E01003273,13.3
E01003274,14.2
E01003275,19.2
E01003276,13.2
E01003277,14.4
E01003278,15.1
E01003279,12.6
E01003280,15
E01003281,12.8
E01003282,13.5
E01003283,10.3
E01003284,12.3
E01003285,10.4
E01003286,20.4
E01003287,10.6
E01003288,14.8
E01003290,16.7
E01003291,20.7
E01003292,11.6
E01003293,14.1
E01003295,18.9
E01003297,12.4
E01003298,15.2
E01003299,14.9
E01003300,14.5
E01003301,13.3
E01003302,13.3
E01003303,14.6
E01003304,13.3
E01003305,13.4
E01003307,12.8
E01003308,14.3
E01003309,17.8
E01003310,17.3
E01003311,13.1
E01003312,13
E01003313,14.4
E01003314,11.5
E01003315,14.3
E01003316,11.5
E01003318,18.8
E01003319,13.8
E01003320,13.7
E01003321,16.2
E01003322,13
E01003323,14.8
E01003324,15.9
E01003325,12.8
E01003326,15.3
E01003327,13.7
E01003328,16.6
E01003329,14.3
E01003330,15.8
E01003331,18
E01003332,15.8
E01003333,15.6
E01003334,15.1
E01003335,18.5
E01003336,17
E01003337,16.6
E01003338,14.8
E01003339,14.4
E01003340,14.2
E01003341,15
E01003342,12.2
E01003343,15.4
E01003344,15
E01003345,13.6
E01003346,19.7
E01003347,17.1
E01003348,13.2
E01003349,17.7
E01003350,14.8
E01003351,16.7
E01003352,14.6
E01003353,11.5
E01003354,12.3
E01003355,8.8
E01003356,11.3
E01003357,15.1
E01003358,7.5
E01003359,13.8
E01003360,8.4
E01003361,11.6
E01003362,12.4
E01003363,12.1
E01003364,12.8
E01003365,13.1
E01003366,14.1
E01003368,12.1
E01003369,10.1
E01003370,11.9
E01003371,11.7
E01003372,13.3
E01003373,17.8
E01003374,17.3
E01003375,15.9
E01003376,14.4
E01003377,16.9
E01003378,11.9
E01003379,14.5
E01003380,9.3
E01003381,8.1
E01003382,8.9
E01003383,8.6
E01003384,7.3
E01003385,9.4
E01003386,10.2
E01003387,14.6
E01003388,15.4
E01003389,10.8
E01003390,11.6
E01003391,16
E01003392,12.8
E01003393,9.5
E01003394,10.6
E01003395,11
E01003396,11.7
E01003397,11.8
E01003398,11.4
E01003399,10.1
E01003400,9.4
E01003401,10.5
E01003402,8.7
E01003403,13.6
E01003404,11
E01003405,14
E01003406,14.9
E01003407,9.3
E01003408,10.7
E01003409,14.5
E01003410,15
E01003411,12.1
E01003412,14.2
E01003413,11.4
E01003414,16
E01003415,11.3
E01003416,11.2
E01003417,11.8
E01003418,12.7
E01003419,13
E01003420,10.8
E01003421,12.7
E01003422,14.3
E01003423,10.5
E01003424,11.3
E01003425,11.4
E01003426,13.1
E01003427,10.4
E01003428,11.9
E01003429,11.4
E01003430,11.6
E01003431,14.6
E01003432,15.2
E01003433,13.2
E01003434,12
E01003435,10.1
E01003436,16.1
E01003437,14.2
E01003438,16.7
E01003439,13.7
E01003440,14.7
E01003441,14.8
E01003442,14.3
E01003443,8.6
E01003444,10.9
E01003445,11.4
E01003446,12.5
E01003447,16.7
E01003448,12.7
E01003449,12.1
E01003450,13.7
E01003451,15.6
E01003452,18.4
E01003453,14.4
E01003454,12.2
E01003455,9.6
E01003456,10.6
E01003457,7.2
E01003458,8.9
E01003459,14.3
E01003460,12.5
E01003461,7.9
E01003462,10.6
E01003463,9.6
E01003464,13.9
E01003465,9.5
E01003466,12
E01003467,12.7
E01003468,10.1
E01003469,11
E01003470,9.6
E01003471,12
E01003472,7.8
E01003473,7.9
E01003474,6.9
E01003476,9.7
E01003477,10.8
E01003478,7.8
E01003479,12.6
E01003480,14.2
E01003481,15.6
E01003483,16
E01003484,9
E01003485,11.6
E01003486,19.1
E01003487,20
E01003488,15.9
E01003489,13.2
E01003490,13.1
E01003491,14.5
E01003492,10.9
E01003494,11
E01003495,9.2
E01003496,12.2
E01003497,16.9
E01003498,14.9
E01003499,15
E01003500,15.4
E01003501,13.8
E01003502,11.6
E01003503,11.1
E01003506,15.6
E01003507,13.4
E01003508,10.9
E01003509,14.7
E01003511,12.6
E01003512,13.5
E01003513,11.4
E01003514,13.5
E01003515,15.9
E01003516,14.5
E01003517,16.8
E01003518,9.2
E01003519,12.2
E01003520,11.9
E01003521,10.8
E01003522,10.2
E01003523,13.5
E01003524,10.6
E01003525,10.4
E01003526,13
E01003527,11.4
E01003528,13.9
E01003529,12.3
E01003530,12.2
E01003531,13
E01003532,11.4
E01003533,15.1
E01003534,12.3
E01003535,19.5
E01003536,10.8
E01003537,11
E01003538,14.2
E01003539,10.4
E01003540,13.3
E01003541,11.1
E01003542,12.5
E01003543,11.9
E01003544,14.2
E01003545,11.8
E01003546,12.4
E01003547,12.2
E01003548,12.1
E01003549,13.9
E01003550,12.7
E01003551,14.6
E01003552,12.8
E01003553,14.1
E01003554,12.2
E01003555,12
E01003556,12.6
E01003557,13.2
E01003558,12.6
E01003559,11.7
E01003560,12.4
E01003561,10.2
E01003562,11.1
E01003563,9.4
E01003564,11.7
E01003565,11.3
E01003566,13.3
E01003567,10
E01003568,10.6
E01003569,10.2
E01003570,10.8
E01003571,11.5
E01003572,12.1
E01003573,10.9
E01003574,13.5
E01003575,10.2
E01003576,13.9
E01003577,12.6
E01003578,9.5
E01003579,12.6
E01003580,12.1
E01003581,12.1
E01003582,13.1
E01003583,14.4
E01003584,14.1
E01003585,10.5
E01003586,12.9
E01003587,11.8
E01003588,12.9
E01003589,10.1
E01003590,15.6
E01003591,13
E01003592,13
E01003593,15.2
E01003594,12
E01003595,14.2
E01003596,12.3
E01003597,14.4
E01003598,14.3
E01003599,11.4
E01003600,15.2
E01003601,14.9
E01003602,9.5
E01003603,9.7
E01003604,10.7
E01003605,13.5
E01003607,12.9
E01003608,10.6
E01003611,11.7
E01003615,12.9
E01003616,11.8
E01003618,10.4
E01003619,12.7
E01003621,9
E01003622,11.9
E01003623,12.2
E01003624,14.5
E01003625,11.2
E01003626,10.6
E01003627,9.6
E01003628,10.6
E01003629,9.9
E01003630,13.3
E01003631,12.7
E01003632,10.6
E01003633,14.6
E01003634,16
E01003635,12.2
E01003636,13.1
E01003637,10.7
E01003638,12.6
E01003639,12.3
E01003640,11.8
E01003641,11
E01003642,13.1
E01003643,12.4
E01003644,9.7
E01003645,10.8
E01003646,13.4
E01003647,9.8
E01003648,10.5
E01003649,11.2
E01003650,14.2
E01003651,11.8
E01003652,10.4
E01003653,9.4
E01003654,12.5
E01003655,12.8
E01003656,17.9
E01003657,12
E01003658,16.5
E01003659,9.7
E01003660,9
E01003661,13.8
E01003662,11.4
E01003663,15.1
E01003664,9
E01003665,11.3
E01003666,11.1
E01003668,13
E01003669,10.1
E01003670,12.5
E01003671,8.8
E01003672,13.2
E01003673,9.6
E01003674,10.8
E01003675,13.1
E01003676,11.2
E01003677,11.9
E01003678,11.6
E01003679,9.6
E01003680,10.8
E01003681,14.9
E01003682,10.8
E01003683,10
E01003684,9.4
E01003685,9.5
E01003686,12.2
E01003688,11.9
E01003689,13.8
E01003690,14.3
E01003691,12
E01003692,12.9
E01003693,10.1
E01003694,15.9
E01003695,15.4
E01003696,12.6
E01003697,11
E01003698,10.4
E01003699,11.5
E01003700,13.9
E01003701,11
E01003702,9.4
E01003703,13.5
E01003704,12.6
E01003705,10.9
E01003706,13.8
E01003707,14.3
E01003708,14
E01003709,12.9
E01003710,11.3
E01003711,14.2
E01003712,18.2
E01003713,12.6
E01003714,9.2
E01003715,10.1
E01003716,13.9
E01003718,9.3
E01003719,12.1
E01003720,19.5
E01003721,15.5
E01003722,12.6
E01003723,14.7
E01003724,12.8
E01003725,14.7
E01003726,10.8
E01003727,16.2
E01003729,12.4
E01003730,10
E01003731,11.7
E01003732,15.8
E01003733,12
E01003734,10.6
E01003735,17
E01003736,7.5
E01003737,8.4
E01003738,11.2
E01003739,11.2
E01003740,13.1
E01003741,13
E01003742,7.8
E01003743,12.9
E01003744,11.9
E01003745,7.6
E01003746,12.7
E01003747,11.3
E01003748,14.2
E01003749,15
E01003750,15
E01003751,12.8
E01003752,9.8
E01003753,10.5
E01003754,13.2
E01003755,8.9
E01003756,11.2
E01003757,12.8
E01003759,12
E01003760,11.8
E01003761,13.6
E01003762,10.6
E01003763,10.1
E01003764,11.3
E01003765,9.6
E01003766,9.5
E01003767,9.9
E01003768,14
E01003769,14.5
E01003770,10.9
E01003771,13.2
E01003772,11.1
E01003773,10.5
E01003774,11.8
E01003775,12.9
E01003776,17.3
E01003777,12.5
E01003778,10.6
E01003779,14.1
E01003780,12.2
E01003781,12.7
E01003782,9.7
E01003783,12.3
E01003784,11.2
E01003785,11.2
E01003786,9.7
E01003787,12.2
E01003788,12.2
E01003789,11.7
E01003790,14.8
E01003791,13.1
E01003792,10.4
E01003793,16.1
E01003794,10.7
E01003795,10.6
E01003796,12.1
E01003797,12.4
E01003798,12.9
E01003799,8.3
E01003800,15.5
E01003801,9
E01003802,9.9
E01003803,17.3
E01003804,10
E01003805,8.2
E01003806,8.1
E01003807,10.9
E01003808,8.3
E01003809,9.2
E01003810,10.1
E01003811,8.8
E01003812,11.5
E01003813,12.1
E01003814,15.2
E01003815,13.6
E01003816,13.4
E01003817,14.8
E01003818,12.8
E01003819,17.1
E01003820,13.5
E01003821,8.5
E01003822,10.2
E01003823,12.2
E01003824,11.6
E01003825,9.7
E01003826,21.2
E01003827,12.3
E01003828,12.6
E01003829,18.8
E01003830,12.4
E01003831,13.3
E01003832,22.6
E01003833,15.7
E01003834,14.1
E01003835,9.4
E01003836,14.7
E01003837,13.3
E01003838,10.4
E01003839,14.8
E01003840,10.7
E01003841,15.6
E01003842,17.3
E01003843,17.8
E01003844,11.6
E01003845,12.8
E01003846,9.4
E01003847,11.2
E01003848,10.1
E01003849,12
E01003851,11.6
E01003852,14.2
E01003853,13.9
E01003854,10.2
E01003855,14.2
E01003856,9.8
E01003857,8.9
E01003858,6.8
E01003859,10.1
E01003860,9.4
E01003861,9
E01003862,12.8
E01003863,16.3
E01003864,10.5
E01003865,14.5
E01003866,8
E01003867,11.1
E01003868,7
E01003869,9.1
E01003870,9.4
E01003871,9.9
E01003872,9.6
E01003873,10
E01003874,7.3
E01003875,11.2
E01003876,11.2
E01003877,8
E01003878,19.5
E01003879,9
E01003880,10.7
E01003881,15.4
E01003882,10.7
E01003883,10
E01003884,12.3
E01003885,11.1
E01003886,10.4
E01003887,9.8
E01003888,16.9
E01003889,10.1
E01003890,9.5
E01003891,12.8
E01003892,11.9
E01003893,13.2
E01003894,10.5
E01003895,11.1
E01003896,10.6
E01003897,10.4
E01003898,12.7
E01003899,11.3
E01003900,17.8
E01003901,9
E01003902,9.7
E01003903,12.4
E01003904,10.7
E01003905,10.3
E01003906,17.2
E01003907,17.4
E01003908,12.3
E01003909,12.8
E01003910,12.6
E01003911,11.8
E01003912,14.4
E01003913,11.8
E01003914,15.8
E01003915,13.9
E01003916,10.9
E01003917,14.7
E01003918,17.7
E01003919,14.1
E01003920,14.7
E01003921,11.8
E01003922,13.9
E01003923,15.6
E01003924,12.9
E01003925,12.9
E01003926,15
E01003929,13
E01003930,15.5
E01003932,15.9
E01003933,13.2
E01003934,13.5
E01003935,14.2
E01003936,10
E01003937,10.8
E01003938,14.2
E01003939,9.8
E01003940,14.6
E01003941,11.2
E01003942,14.6
E01003943,14.3
E01003945,12.1
E01003946,12.6
E01003947,14.4
E01003948,12.9
E01003949,14.8
E01003950,15.8
E01003951,11.3
E01003952,11.2
E01003953,12.9
E01003954,10
E01003955,13
E01003956,13.5
E01003957,12.3
E01003958,13.1
E01003960,15.1
E01003961,17.6
E01003963,14.6
E01003966,13
E01003969,9.8
E01003971,10.7
E01003972,13.8
E01003973,13.4
E01003975,14.6
E01003976,12.6
E01003977,17.4
E01003979,15.3
E01003980,16.6
E01003981,16.5
E01003983,13.6
E01003984,14.4
E01003986,18.9
E01003987,20.3
E01003988,16.5
E01003989,11.2
E01003990,14.1
E01003991,23.2
E01003992,16.5
E01003993,13.6
E01003994,14.8
E01003995,19.3
E01003997,14.3
E01003998,17.7
E01003999,14.9
E01004000,17.5
E01004001,21.1
E01004002,12.9
E01004003,18.5
E01004004,16
E01004005,18.7
E01004006,16.6
E01004007,15.2
E01004008,14.1
E01004010,13.1
E01004011,16.1
E01004012,11.6
E01004013,14.9
E01004014,14.7
E01004015,12.4
E01004016,13.5
E01004017,11
E01004018,11.1
E01004019,13.1
E01004020,14.9
E01004021,11.3
E01004023,15
E01004024,18.1
E01004028,14.6
E01004029,9.9
E01004030,14.8
E01004031,11.3
E01004032,8.3
E01004033,14.5
E01004034,13.5
E01004035,20.1
E01004036,14.7
E01004037,11.2
E01004038,13
E01004039,12.8
E01004040,16.8
E01004041,12.9
E01004042,18.4
E01004043,19
E01004044,16.8
E01004045,13.6
E01004046,12.9
E01004047,12.5
E01004048,14.8
E01004049,13.7
E01004050,11.6
E01004051,13.1
E01004052,12.1
E01004053,8.5
E01004054,10
E01004055,19.5
E01004056,14.7
E01004057,11.2
E01004058,7.8
E01004059,8
E01004060,16.1
E01004061,13.4
E01004062,15.1
E01004063,15.3
E01004064,16.8
E01004065,11.6
E01004066,15.3
E01004067,13.3
E01004068,18.8
E01004069,9.4
E01004070,13.3
E01004071,14.9
E01004072,11.3
E01004073,10
E01004074,12.1
E01004075,9
E01004076,15.1
E01004077,14
E01004078,15.5
E01004079,12
E01004080,13.3
E01004081,13.6
E01004082,13
E01004083,23
E01004084,12.6
E01004085,13.2
E01004086,12.8
E01004087,13.1
E01004088,23.8
E01004089,20.5
E01004090,21
E01004091,14
E01004092,11.5
E01004093,11
E01004094,11.6
E01004095,12.3
E01004096,12.6
E01004097,12.6
E01004098,14.4
E01004099,14.9
E01004100,12.6
E01004101,13.6
E01004102,13.9
E01004103,13.1
E01004104,13.6
E01004105,11.9
E01004106,13.5
E01004107,15.3
E01004108,12.8
E01004109,17.4
E01004110,14.8
E01004111,16.4
E01004112,10.9
E01004114,14.7
E01004115,12.1
E01004116,15.3
E01004117,9.9
E01004118,13.4
E01004119,10.5
E01004120,11.4
E01004121,14.8
E01004122,12.6
E01004123,14.4
E01004124,15.4
E01004125,20.8
E01004126,18.7
E01004127,15.2
E01004128,18.9
E01004129,19.7
E01004130,13.8
E01004131,11.8
E01004132,10
E01004133,10.8
E01004134,13.9
E01004135,11.8
E01004136,14.3
E01004137,9.8
E01004138,12.4
E01004139,12.6
E01004140,18.1
E01004141,15.2
E01004143,13.4
E01004144,12.7
E01004145,12.4
E01004146,12.2
E01004147,15
E01004148,15.9
E01004149,14.4
E01004150,14.5
E01004151,16.9
E01004152,13.7
E01004153,11.9
E01004154,12.4
E01004155,13.2
E01004156,11.7
E01004157,11.8
E01004158,15.5
E01004159,12.7
E01004160,12.3
E01004161,13.2
E01004162,13.4
E01004163,14.6
E01004164,13.8
E01004165,15
E01004166,16
E01004167,18.8
E01004168,12.9
E01004169,11.6
E01004170,12
E01004171,14.8
E01004172,16.1
E01004173,18
E01004174,13.4
E01004175,12.6
E01004176,13.4
E01004177,22.4
E01004178,14.1
E01004179,11.8
E01004180,13.1
E01004181,17.4
E01004182,19.2
E01004183,15.8
E01004184,19.1
E01004185,16.7
E01004186,13.1
E01004187,16.8
E01004189,16.5
E01004190,12.9
E01004191,12.2
E01004192,12.1
E01004193,11.5
E01004194,15
E01004195,11.5
E01004196,12.2
E01004198,20.5
E01004199,16
E01004200,13
E01004201,16.5
E01004202,11.2
E01004203,13.3
E01004204,17.3
E01004205,14.4
E01004206,18.9
E01004207,15.1
E01004208,10.3
E01004209,13.5
E01004211,13.8
E01004212,12.6
E01004214,17
E01004216,11.9
E01004217,15.3
E01004218,12.1
E01004219,10.3
E01004221,10.8
E01004222,19.9
E01004223,19.2
E01004226,12.1
E01004228,16.3
E01004229,14.1
E01004230,14.4
E01004231,15.1
E01004232,11.2
E01004233,17.5
E01004234,12
E01004235,14.9
E01004236,16.1
E01004237,12.9
E01004239,18.4
E01004240,14.6
E01004241,16.2
E01004243,12.4
E01004244,18.5
E01004245,10.9
E01004247,12.5
E01004248,13.4
E01004249,17.2
E01004251,12.8
E01004255,15.6
E01004256,16.1
E01004257,14
E01004258,11.7
E01004259,13.9
E01004260,14.2
E01004263,17.5
E01004264,13.9
E01004266,15.5
E01004267,14.2
E01004268,17.4
E01004270,12.4
E01004271,11.3
E01004272,13.2
E01004274,13.1
E01004275,11.6
E01004276,7.5
E01004277,7.5
E01004280,12.7
E01004281,10
E01004283,15.2
E01004286,16.8
E01004287,16.3
E01004288,18.2
E01004289,16
E01004290,13.8
E01004291,10.2
E01004292,7.7
E01004293,10.5
E01004295,10.9
E01004296,14
E01004297,8.9
E01004298,19.3
E01004300,15.4
E01004301,13.3
E01004302,12
E01004303,14.3
E01004304,15.6
E01004305,14.8
E01004306,12.3
E01004307,11.4
E01004308,16.4
E01004309,13.9
E01004310,14.1
E01004311,15.6
E01004312,17.5
E01004313,13.5
E01004315,16.2
E01004316,11.3
E01004319,11
E01004321,13
E01004322,14.8
E01004323,13.3
E01004324,14.2
E01004326,12.7
E01004327,12
E01004328,10.8
E01004329,10.3
E01004330,11.9
E01004331,12.7
E01004332,14.7
E01004333,13
E01004334,13.9
E01004335,15.1
E01004336,13.5
E01004337,14.2
E01004338,9
E01004339,11.2
E01004340,17.3
E01004341,16.1
E01004342,11.4
E01004343,11.4
E01004344,11.9
E01004345,11.4
E01004346,10.7
E01004347,11.3
E01004348,11
E01004349,14.9
E01004350,20.2
E01004351,15
E01004352,18.3
E01004353,15.1
E01004354,11.2
E01004355,15.6
E01004356,15.4
E01004357,14.7
E01004358,14.7
E01004359,12.8
E01004360,12.1
E01004361,11.2
E01004362,13.3
E01004363,11.3
E01004364,14.6
E01004365,11.2
E01004366,13.8
E01004367,14.3
E01004368,13.9
E01004369,9.2
E01004370,9
E01004371,10.9
E01004372,12
E01004373,11.1
E01004374,11.7
E01004375,11.5
E01004376,11.5
E01004377,12.5
E01004378,13.9
E01004379,11.7
E01004380,13.2
E01004381,12.1
E01004382,12.8
E01004383,11.2
E01004384,20.8
E01004385,16.4
E01004386,11.4
E01004387,11.1
E01004388,14.5
E01004389,17.4
E01004390,20
E01004391,11.5
E01004392,11.2
E01004393,14.9
E01004394,15.6
E01004395,10.9
E01004396,10.7
E01004397,11.8
E01004398,17.9
E01004399,16.6
E01004400,13
E01004401,12.6
E01004402,13.8
E01004403,12.4
E01004404,14.1
E01004405,14.1
E01004406,12.6
E01004407,13.7
E01004408,13.6
E01004409,16.4
E01004410,18.9
E01004411,11.8
E01004412,13.3
E01004413,24.1
E01004414,13.6
E01004415,18.3
E01004416,13.3
E01004417,16.2
E01004418,13.1
E01004419,10.9
E01004420,13.9
E01004421,12
E01004422,11
E01004423,16.1
E01004424,12.8
E01004425,11.3
E01004426,12.6
E01004427,9.9
E01004428,16.8
E01004429,13.9
E01004430,9.8
E01004432,9.1
E01004434,13
E01004435,15.5
E01004436,17.3
E01004437,12.7
E01004438,13.2
E01004439,15.6
E01004440,13
E01004441,13.2
E01004442,11.1
E01004443,12
E01004444,12.3
E01004445,11
E01004446,9.6
E01004447,11.2
E01004448,13.3
E01004449,19.3
E01004450,13.2
E01004451,12.1
E01004452,13.9
E01004453,12.1
E01004454,12.7
E01004455,15.3
E01004456,17.5
E01004457,13
E01004458,11.5
E01004459,15.1
E01004460,11
E01004462,10.7
E01004463,12
E01004464,14.5
E01004465,12.5
E01004466,12.3
E01004467,14.3
E01004468,10.8
E01004469,14.1
E01004470,11.4
E01004471,12.4
E01004472,9.7
E01004473,11.5
E01004474,9.8
E01004475,10.1
E01004476,11.8
E01004477,8.3
E01004478,6.4
E01004479,8
E01004480,8.4
E01004481,10.5
E01004482,11
E01004483,10.8
E01004484,10.9
E01004485,11.7
E01004486,10.8
E01004487,12.2
E01004488,11.1
E01004489,12.3
E01004490,7.6
E01004491,11.3
E01004492,11.6
E01004493,10.3
E01004494,11.2
E01004495,12.2
E01004496,10.1
E01004497,12.7
E01004498,7.8
E01004499,9.6
E01004500,12.3
E01004501,13.6
E01004502,8.9
E01004503,13
E01004504,8.4
E01004505,11.6
E01004506,9.5
E01004507,8.2
E01004508,9.7
E01004510,10.2
E01004511,7.8
E01004512,10.7
E01004513,10.6
E01004514,9.4
E01004515,11.9
E01004516,11.5
E01004517,10
E01004518,13.5
E01004519,12.8
E01004520,13.3
E01004521,11.4
E01004522,14.8
E01004523,14.4
E01004524,16.5
E01004525,9.3
E01004526,11.1
E01004527,13.4
E01004528,17.6
E01004529,10.3
E01004530,11.7
E01004531,13.5
E01004532,12.8
E01004533,14.2
E01004534,7.9
E01004535,13.9
E01004536,11.2
E01004537,14
E01004538,12.6
E01004539,14
E01004540,12.6
E01004541,18.5
E01004542,8.9
E01004543,7.9
E01004544,10.1
E01004545,8.8
E01004546,8.2
E01004547,17.2
E01004548,13.5
E01004549,13.4
E01004550,17.7
E01004551,10.5
E01004552,6.7
E01004553,8
E01004554,6
E01004555,6.9
E01004556,7
E01004557,8.5
E01004558,7.2
E01004559,8.9
E01004560,8.8
E01004563,11.7
E01004564,11.8
E01004565,11.7
E01004566,9.1
E01004567,15
E01004568,19.1
E01004569,17.7
E01004570,16
E01004571,14.7
E01004572,14
E01004573,13.3
E01004574,14.2
E01004575,20.5
E01004576,14.6
E01004577,9.7
E01004579,11.4
E01004580,10.7
E01004581,11.9
E01004582,10.1
E01004583,17.7
E01004584,17.4
E01004585,9.5
E01004586,8.5
E01004587,7.9
E01004588,6.9
E01004589,7.3
E01004590,16.6
E01004591,12.8
E01004592,18.9
E01004593,9.3
E01004594,8.3
E01004595,9.4
E01004596,8.3
E01004597,11.7
E01004598,7.5
E01004599,8.9
E01004601,12.1
E01004602,8.8
E01004604,8.7
E01004605,12.1
E01004606,6.4
E01004607,7.1
E01004608,12.9
E01004609,9
E01004610,12.6
E01004611,11.1
E01004612,12.3
E01004613,14.8
E01004614,13.8
E01004615,17.1
E01004616,10.4
E01004617,13.7
E01004618,10.3
E01004619,7.7
E01004620,9.8
E01004621,10.4
E01004622,23.2
E01004623,8.4
E01004624,13.1
E01004625,9.7
E01004626,10.4
E01004627,9.9
E01004628,19.5
E01004629,14
E01004630,16.8
E01004631,12.3
E01004632,9.1
E01004633,14.3
E01004634,10.6
E01004635,13.1
E01004636,11.4
E01004637,10
E01004638,10.8
E01004639,10
E01004640,9.6
E01004641,16.8
E01004642,13.6
E01004643,13.6
E01004644,13.8
E01004645,18.9
E01004646,12.5
E01004647,14.7
E01004648,8.7
E01004649,8.3
E01004650,8.3
E01004651,8.4
E01004652,12.1
E01004653,9.9
E01004654,9.8
E01004656,14.5
E01004657,6
E01004658,8.2
E01004659,10.4
E01004660,7.8
E01004661,11.3
E01004662,10.2
E01004663,16.4
E01004665,21.5
E01004668,14.6
E01004669,19.9
E01004670,23.1
E01004674,19.8
E01004675,17.2
E01004676,12.8
E01004677,17.1
E01004678,15.5
E01004679,16.1
E01004680,10.4
E01004681,9.5
E01004682,9.2
E01004683,6.6
E01004684,11.6
E01004686,13.7
E01004687,5
E01004690,4.6
E01004691,5.1
E01004692,9.1
E01004693,7.2
E01004694,7.3
E01004695,9.9
E01004696,18.6
E01004697,10.4
E01004698,11.9
E01004699,10.7
E01004700,9.1
E01004701,8.6
E01004702,20.1
E01004703,8.4
E01004705,8.9
E01004706,10.3
E01004707,6.6
E01004708,15.8
E01004709,16.2
E01004710,16.9
E01004711,16.9
E01004712,10.3
E01004713,7.3
E01004714,9.3
E01004715,14.2
E01004716,8.1
E01004717,8.6
E01004718,15.7
E01004719,19.4
E01004720,18
E01004721,21.5
E01004722,16.7
E01004723,15.7
E01004724,10.6
E01004725,14.7
E01004726,8.3
E01004727,7.8
E01004728,14.8
E01004729,20.6
E01004730,9
E01004731,6.6
E01004732,27
E01004733,10.7
E01004734,13.3
E01004735,12.8
E01004736,6.8
E01004737,15.5
E01004740,19.7
E01004741,14.6
E01004742,10.3
E01004743,14
E01004744,19.1
E01004746,22.3
E01004747,16.6
E01004748,11.5
E01004749,10.3
E01004750,13.8
E01004751,23.8
E01004752,15.7
E01004753,16.3
E01004754,23.5
E01004755,17.7
E01004756,14.1
E01004757,16.7
E01004760,14.5
E01004761,9.1
E01004762,14.2
E01004763,13.4
E01004765,12.7
E01004766,22.2
E01004767,19
E01004768,13.4
E01004769,15.1
E01004770,14.3
E01004771,14.1
E01004772,19.4
E01004773,16.6
E01004774,20.6
E01004775,16.2
E01004776,20.8
E01004777,25.6
